rank_overall,rank_within_layer,layer,measurement,measurement_label,site,archetype,literature_status,peak_timepoint,days_from_launch,peak_abs_z,peak_z_ci_lower_abs,peak_z_ci_high,z_score_robust,methods_concordance,is_baseline_fragile,fragility_reason,concordance_class,signal_score,clinical_flagged_count,deviation_flag,deviation_direction,fold_change,recovery_classification,return_to_baseline_day,recovery_velocity
2414,1045,microbial,K18455,mycothiol S-conjugate amidase [EC:3.5.1.115],NAC,,novel,R+1,1,7.5458068755344305,6.232033361956139,-6.232033361956139,-5.477966656039197,both-elevated,False,,ambiguous,4.985626689564912,0,extreme,down,0.0,incomplete,,0.0378903082626479
2415,1357,microbial,K02517,Kdo2-lipid IVA lauroyltransferase/acyltransferase [EC:2.3.1.241 2.3.1.-],ORC,,novel,R+82,82,5.1491627970190486,4.153881797319471,-4.153881797319471,-5.413655022934317,both-elevated,False,,concordant,4.984658156783365,0,extreme,down,0.0,incomplete,,
2416,1046,microbial,K03798,cell division protease FtsH [EC:3.4.24.-],NAC,,novel,R+1,1,7.503282052335827,6.229714143514425,-6.229714143514425,-5.34745380770669,both-elevated,False,,ambiguous,4.98377131481154,0,extreme,down,0.0,incomplete,,0.0526107307424115
2417,1047,microbial,K01478,arginine deiminase [EC:3.5.3.6],NAC,,novel,R+1,1,7.327376286271556,6.2290683051864795,-6.2290683051864795,-12.765077998638048,both-elevated,False,,ambiguous,4.983254644149184,0,extreme,down,0.0,incomplete,,0.0534696370555479
2418,1048,microbial,K02759,cellobiose PTS system EIIA component [EC:2.7.1.196 2.7.1.205],NAC,,novel,R+1,1,4.300050740560693,4.152591972913789,-4.152591972913789,-25.54941680798686,both-elevated,True,unstable-ci,concordant,4.983110367496546,0,extreme,down,0.0484798380840564,incomplete,,0.0114941218378631
2419,1358,microbial,K04774,serine protease SohB [EC:3.4.21.-],ORC,,novel,R+1,1,7.371450190163841,6.227331284684462,-6.227331284684462,-6.482400993613864,both-elevated,False,,ambiguous,4.9818650277475705,0,extreme,down,0.0,incomplete,,0.0
2420,1359,microbial,K02967,small subunit ribosomal protein S2,ORC,,novel,R+82,82,5.546758531967214,4.9811246282437605,-4.9811246282437605,-9.485201262069854,both-elevated,False,,idiosyncratic,4.9811246282437605,0,extreme,down,0.0210412685971946,incomplete,,
2421,1360,microbial,K15869,3alpha-hydroxy bile acid-CoA-ester 3-dehydrogenase [EC:1.1.1.395],ORC,,novel,R+82,82,5.888890105971875,4.97920177880638,-4.97920177880638,-5.62008001168846,both-elevated,False,,idiosyncratic,4.97920177880638,0,extreme,down,0.0233423385030197,incomplete,,
2422,1049,microbial,K03469,ribonuclease HI [EC:3.1.26.4],NAC,,novel,R+1,1,7.510376885745233,6.220977324527507,-6.220977324527507,-7.369659299349844,both-elevated,False,,ambiguous,4.9767818596220055,0,extreme,down,0.0,incomplete,,0.0689390044673134
2423,1361,microbial,K18218,tetracycline resistance efflux pump,ORC,,novel,R+1,1,7.146247047027961,6.220523576305969,-6.220523576305969,-20.881362456213015,both-elevated,False,,ambiguous,4.976418861044776,0,extreme,down,0.0,incomplete,,0.0
2424,1362,microbial,K01119,"2',3'-cyclic-nucleotide 2'-phosphodiesterase / 3'-nucleotidase [EC:3.1.4.16 3.1.3.6]",ORC,,novel,R+1,1,7.295447092641384,6.219879013159658,-6.219879013159658,-13.502340637685924,both-elevated,False,,ambiguous,4.9759032105277266,0,extreme,down,0.0,incomplete,,0.0
2425,1363,microbial,K02567,nitrate reductase (cytochrome) [EC:1.9.6.1],ORC,,novel,R+1,1,6.281349748148137,6.2188117325188115,-6.2188117325188115,-129.8650465124215,both-elevated,True,unstable-ci,ambiguous,4.9750493860150495,0,extreme,down,0.0,incomplete,,0.0
2426,1050,microbial,K06153,undecaprenyl-diphosphatase [EC:3.6.1.27],NAC,,novel,R+1,1,6.93683813676084,6.218008090324418,-6.218008090324418,-55.21226377052389,both-elevated,True,unstable-ci,ambiguous,4.974406472259535,0,extreme,down,0.0419555177617818,incomplete,,0.043045271571059
2427,1364,microbial,K04762,ribosome-associated heat shock protein Hsp15,ORC,,novel,R+82,82,6.1017803599268845,4.973808868212569,-4.973808868212569,-4.737034570038371,both-elevated,False,,idiosyncratic,4.973808868212569,0,extreme,down,0.0,incomplete,,
